crawled_at,site_type,site_name,url,title,status,relevance_label,relevance_score,quarantined,content_excluded,metadata_items,reasons
2026-04-18T00:40:34.533477+00:00,distillery,Springbank,https://www.springbank.scot/content-restricted/?r=18&wcm_redirect_to=product_cat&wcm_redirect_id=18,Content restricted - Springbank,ok:direct-parallel,Medium,20,0,0,9,some extracted metadata
2026-04-18T00:40:33.715236+00:00,distillery,Springbank,https://www.springbank.scot/product/barley-to-bottle-tour/,Barley to Bottle Tour - Springbank,ok:direct-parallel,Medium,30,0,0,14,rich extracted metadata
2026-04-18T00:40:33.712634+00:00,distillery,Springbank,https://www.springbank.scot/product-category/memberships/,Memberships Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:40:33.708210+00:00,distillery,Springbank,https://www.springbank.scot/product-category/tours/,Tours & Tastings Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:39:54.607394+00:00,distillery,Springbank,https://www.springbank.scot/countdown-collection/countdown-collection-an-introduction/,Countdown Collection: An Introduction - Springbank,ok:direct-parallel,Medium,20,0,0,11,some extracted metadata
2026-04-18T00:39:54.604451+00:00,distillery,Springbank,https://www.springbank.scot/tag/news/,news Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:39:54.599877+00:00,distillery,Springbank,https://www.springbank.scot/category/festival/,festival Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:39:33.682797+00:00,distillery,Springbank,https://www.springbank.scot/malts-festival/malts-festival-2025-springbank-society-tastings/,,error:direct:direct-parallel https://www.springbank.scot/malts-festival/malts-festival-2025-springbank-society-tastings/: HTTP Error 404: Not Found,Low,0,0,0,0,
2026-04-18T00:39:31.797199+00:00,distillery,Springbank,https://www.springbank.scot/countdown-collection/countdown-collection-2026-release/,Countdown Collection: 2026 Release - Springbank,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T00:39:30.980611+00:00,distillery,Springbank,https://www.springbank.scot/author/nathan-currie/,"Nathan Currie, Author at Springbank",ok:direct-parallel,Medium,20,0,0,9,some extracted metadata
